0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/images/er_ctrip_wechat.jpg HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 200 23424
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/images/totop.png HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 90412
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:18 +0800] "GET /group3/purchase/images/arrow1.png HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/NormalQuestion HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/css/test.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/css/NomalQuestion.css HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/news-css/news.css HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/css/style.css HTTP/1.1" 200 28395
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/css/font-awesome.min.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/js/sand.js HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/images/logo2.jpg HTTP/1.1" 200 19703
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/images/contact.png HTTP/1.1" 200 7643
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/images/er_ctrip_wechat.jpg HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/images/totop.png HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:20 +0800] "GET /group3/userweb/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:21 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:22 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:22 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:22 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:22 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:22 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:23 +0800] "GET /group3/main/NotIndex HTTP/1.1" 200 28507
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:53:56 +0800] "GET /group3/userweb/NormalQuestion HTTP/1.1" 200 10073
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:00 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:00 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:00 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:00 +0800] "GET /group3/purchase/CommonSence HTTP/1.1" 200 7964
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:00 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/zcfc HTTP/1.1" 200 20363
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/1.jpg HTTP/1.1" 200 178534
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/2.jpg HTTP/1.1" 200 285304
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/css/megamenu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/3.jpg HTTP/1.1" 200 372451
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/zcfc HTTP/1.1" 200 20363
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/5.jpg HTTP/1.1" 200 364887
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/css/menu.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/7.jpg HTTP/1.1" 200 212285
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/10.jpg HTTP/1.1" 200 235500
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/8.jpg HTTP/1.1" 200 281976
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/13.jpg HTTP/1.1" 200 332623
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/12.jpg HTTP/1.1" 200 524108
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/14.jpg HTTP/1.1" 200 315820
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/15.jpg HTTP/1.1" 200 327851
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/4.jpg HTTP/1.1" 200 582433
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/16.jpg HTTP/1.1" 200 181382
0:0:0:0:0:0:0:1 - - [13/Oct/2017:23:54:02 +0800] "GET /group3/purchase/images/23.jpg HTTP/1.1" 404 949
